t f_inst
1.599799899949975139e-05 2.726269250000000000e+06
1.600800400200100098e-05 2.726269250000000000e+06
1.601800900450225056e-05 2.726269250000000000e+06
1.602801400700350353e-05 2.726269250000000000e+06
1.603801900950475312e-05 2.726269250000000000e+06
1.604802401200600270e-05 2.726269250000000000e+06
1.605802901450725567e-05 2.726269250000000000e+06
1.606803401700850525e-05 2.726269250000000000e+06
1.607803901950975484e-05 2.726269250000000000e+06
1.608804402201100781e-05 2.726269250000000000e+06
1.609804902451225739e-05 2.726269250000000000e+06
1.610805402701350698e-05 2.726269250000000000e+06
1.611805902951475995e-05 2.726269250000000000e+06
1.612806403201600953e-05 2.726269250000000000e+06
1.613806903451725912e-05 2.726269250000000000e+06
1.614807403701850870e-05 2.726269250000000000e+06
1.615807903951976167e-05 2.726269250000000000e+06
1.616808404202101126e-05 2.726269250000000000e+06
1.617808904452226084e-05 2.726269250000000000e+06
1.618809404702351381e-05 2.726269250000000000e+06
1.619809904952476340e-05 2.726269250000000000e+06
1.620810405202601298e-05 2.726269250000000000e+06
1.621810905452726595e-05 2.726269250000000000e+06
1.622811405702851554e-05 2.726269250000000000e+06
1.623811905952976512e-05 2.726269250000000000e+06
1.624812406203101809e-05 2.726269250000000000e+06
1.625812906453226767e-05 2.726269250000000000e+06
1.626813406703351726e-05 2.726269250000000000e+06
1.627813906953476684e-05 2.726269250000000000e+06
1.628814407203601981e-05 2.726269250000000000e+06
1.629814907453726940e-05 2.726269250000000000e+06
1.630815407703851898e-05 2.726269250000000000e+06
1.631815907953977195e-05 2.667851000000000000e+06
1.632816408204102154e-05 2.667851000000000000e+06
1.633816908454227112e-05 2.667851000000000000e+06
1.634817408704352409e-05 2.667851000000000000e+06
1.635817908954477368e-05 2.667851000000000000e+06
1.636818409204602326e-05 2.667851000000000000e+06
1.637818909454727623e-05 2.667851000000000000e+06
1.638819409704852582e-05 2.667851000000000000e+06
1.639819909954977540e-05 2.667851000000000000e+06
1.640820410205102498e-05 2.667851000000000000e+06
1.641820910455227796e-05 2.667851000000000000e+06
1.642821410705352754e-05 2.667851000000000000e+06
1.643821910955477712e-05 2.667851000000000000e+06
1.644822411205603010e-05 2.667851000000000000e+06
1.645822911455727968e-05 2.667851000000000000e+06
1.646823411705852926e-05 2.667851000000000000e+06
1.647823911955978223e-05 2.667851000000000000e+06
1.648824412206103182e-05 2.667851000000000000e+06
1.649824912456228140e-05 2.667851000000000000e+06
1.650825412706353437e-05 2.667851000000000000e+06
1.651825912956478396e-05 2.667851000000000000e+06
1.652826413206603354e-05 2.667851000000000000e+06
1.653826913456728313e-05 2.667851000000000000e+06
1.654827413706853610e-05 2.667851000000000000e+06
1.655827913956978568e-05 2.667851000000000000e+06
1.656828414207103526e-05 2.667851000000000000e+06
1.657828914457228824e-05 2.667851000000000000e+06
1.658829414707353782e-05 2.667851000000000000e+06
1.659829914957478740e-05 2.667851000000000000e+06
1.660830415207604038e-05 2.667851000000000000e+06
1.661830915457728996e-05 2.667851000000000000e+06
1.662831415707853954e-05 2.667851000000000000e+06
1.663831915957979252e-05 2.667851000000000000e+06
1.664832416208104210e-05 2.667851000000000000e+06
1.665832916458229168e-05 2.667851000000000000e+06
1.666833416708354127e-05 2.667851000000000000e+06
1.667833916958479424e-05 2.667851000000000000e+06
