Time(s), Amplitude
0.0202800, 0.5877853
0.0203000, -0.0000000
0.0203200, -0.5877853
0.0203400, -0.9510565
0.0203600, -0.9510565
0.0203800, -0.5877853
0.0204000, 0.0000000
0.0204200, 0.5877853
0.0204400, 0.9510565
0.0204600, 0.9510565
0.0204800, 0.5877853
0.0205000, -0.0000000
0.0205200, -0.5877853
0.0205400, -0.9510565
0.0205600, -0.9510565
0.0205800, -0.5877853
0.0206000, 0.0000000
0.0206200, 0.5877853
0.0206400, 0.9510565
0.0206600, 0.9510565
0.0206800, 0.5877853
0.0207000, -0.0000000
0.0207200, -0.5877853
0.0207400, -0.9510565
0.0207600, -0.9510565
0.0207800, -0.5877853
0.0208000, 0.0000000
0.0208200, 0.5877853
0.0208400, 0.9510565
0.0208600, 0.9510565
0.0208800, 0.5877853
0.0209000, -0.0000000
0.0209200, -0.5877853
0.0209400, -0.9510565
0.0209600, -0.9510565
0.0209800, -0.5877853
0.0210000, 0.0000000
0.0210200, 0.5877853
0.0210400, 0.9510565
0.0210600, 0.9510565
0.0210800, 0.5877853
0.0211000, 0.0000000
0.0211200, -0.5877853
0.0211400, -0.9510565
0.0211600, -0.9510565
0.0211800, -0.5877853
0.0212000, -0.0000000
0.0212200, 0.5877853
0.0212400, 0.9510565
0.0212600, 0.9510565
0.0212800, 0.5877853
0.0213000, -0.0000000
0.0213200, -0.5877853
0.0213400, -0.9510565
0.0213600, -0.9510565
0.0213800, -0.5877853
